RECID,XMLRECORD
12,"<row id=""12"" xml:space=""preserve""><c1>C100012</c1><c2>Océane</c2><c3>Gillet</c3><c5>78, rue Bernard Lemoine</c5><c7>Diaz</c7><c8>79708</c8><c31>20121018</c31><c48>TN0000012</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
13,"<row id=""13"" xml:space=""preserve""><c1>C100013</c1><c2>Grégoire</c2><c3>Neveu</c3><c5>45, rue de Nicolas</c5><c7>SchmittBourg</c7><c8>67128</c8><c31>20181128</c31><c48>TN0000013</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
14,"<row id=""14"" xml:space=""preserve""><c1>C100014</c1><c2>Jeannine</c2><c3>Arnaud</c3><c5>79, avenue de Vasseur</c5><c7>Schmittnec</c7><c8>62982</c8><c31>20170125</c31><c48>TN0000014</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
15,"<row id=""15"" xml:space=""preserve""><c1>C100015</c1><c2>Roland</c2><c3>Olivier</c3><c5>49, rue Collin</c5><c7>Saint Jeannine</c7><c8>02717</c8><c31>20070703</c31><c48>TN0000015</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
16,"<row id=""16"" xml:space=""preserve""><c1>C100016</c1><c2>Auguste</c2><c3>Pichon</c3><c5>24, boulevard Petitjean</c5><c7>Bertrand-les-Bains</c7><c8>82916</c8><c31>20130125</c31><c48>TN0000016</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
17,"<row id=""17"" xml:space=""preserve""><c1>C100017</c1><c2>Noël</c2><c3>Bonnin</c3><c5>78, avenue Dupont</c5><c7>Saint NathalieBourg</c7><c8>43938</c8><c31>20140720</c31><c48>TN0000017</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
18,"<row id=""18"" xml:space=""preserve""><c1>C100018</c1><c2>Joséphine</c2><c3>Legros</c3><c5>738, avenue Benjamin Masse</c5><c7>Saint Françoise-sur-Mer</c7><c8>08441</c8><c31>20131227</c31><c48>TN0000018</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
19,"<row id=""19"" xml:space=""preserve""><c1>C100019</c1><c2>Thibaut</c2><c3>Maury</c3><c5>6, avenue Mathilde Martineau</c5><c7>Guillon</c7><c8>89691</c8><c31>20220605</c31><c48>TN0000019</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
20,"<row id=""20"" xml:space=""preserve""><c1>C100020</c1><c2>Luce</c2><c3>Leleu</c3><c5>17, rue Robert Vallet</c5><c7>Julien</c7><c8>07650</c8><c31>20060826</c31><c48>TN0000020</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
21,"<row id=""21"" xml:space=""preserve""><c1>C100021</c1><c2>Paulette</c2><c3>Vidal</c3><c5>49, avenue de Fischer</c5><c7>Hubert</c7><c8>75934</c8><c31>20161029</c31><c48>TN0000021</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
22,"<row id=""22"" xml:space=""preserve""><c1>C100022</c1><c2>Aurélie</c2><c3>Roy</c3><c5>chemin de Colas</c5><c7>Reyboeuf</c7><c8>89711</c8><c31>20101002</c31><c48>TN0000022</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
23,"<row id=""23"" xml:space=""preserve""><c1>C100023</c1><c2>Nicole</c2><c3>Faivre</c3><c5>rue Germain</c5><c7>Valette</c7><c8>90286</c8><c31>20191006</c31><c48>TN0000023</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
24,"<row id=""24"" xml:space=""preserve""><c1>C100024</c1><c2>Tristan</c2><c3>Normand</c3><c5>39, avenue Prévost</c5><c7>Benoit</c7><c8>16522</c8><c31>20150906</c31><c48>TN0000024</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
25,"<row id=""25"" xml:space=""preserve""><c1>C100025</c1><c2>Agnès</c2><c3>Costa</c3><c5>89, rue Fournier</c5><c7>Benard</c7><c8>25343</c8><c31>20220517</c31><c48>TN0000025</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
26,"<row id=""26"" xml:space=""preserve""><c1>C100026</c1><c2>Luc</c2><c3>Langlois</c3><c5>78, boulevard Sabine Petit</c5><c7>Moreno-sur-Fischer</c7><c8>61874</c8><c31>20090805</c31><c48>TN0000026</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
27,"<row id=""27"" xml:space=""preserve""><c1>C100027</c1><c2>Alfred</c2><c3>Guérin</c3><c5>6, rue de Da Costa</c5><c7>Peltier-sur-Duhamel</c7><c8>10429</c8><c31>20160408</c31><c48>TN0000027</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
28,"<row id=""28"" xml:space=""preserve""><c1>C100028</c1><c2>William</c2><c3>Martin</c3><c5>rue Jérôme Paul</c5><c7>Petit</c7><c8>67218</c8><c31>20190507</c31><c48>TN0000028</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
29,"<row id=""29"" xml:space=""preserve""><c1>C100029</c1><c2>Marie</c2><c3>Bazin</c3><c5>2, rue de Lacombe</c5><c7>Hoarau</c7><c8>03537</c8><c31>20090829</c31><c48>TN0000029</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
30,"<row id=""30"" xml:space=""preserve""><c1>C100030</c1><c2>Clémence</c2><c3>Delorme</c3><c5>89, chemin Lefèvre</c5><c7>Sainte Océane</c7><c8>03864</c8><c31>20071017</c31><c48>TN0000030</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
31,"<row id=""31"" xml:space=""preserve""><c1>C100031</c1><c2>Agathe</c2><c3>Daniel</c3><c5>98, avenue de Guyot</c5><c7>Benoit</c7><c8>47129</c8><c31>20130612</c31><c48>TN0000031</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
32,"<row id=""32"" xml:space=""preserve""><c1>C100032</c1><c2>Dorothée</c2><c3>Klein</c3><c5>rue de Colin</c5><c7>Labbé</c7><c8>78843</c8><c31>20171231</c31><c48>TN0000032</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
33,"<row id=""33"" xml:space=""preserve""><c1>C100033</c1><c2>Capucine</c2><c3>Masson</c3><c5>3, avenue Voisin</c5><c7>Potierdan</c7><c8>38751</c8><c31>20110815</c31><c48>TN0000033</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
34,"<row id=""34"" xml:space=""preserve""><c1>C100034</c1><c2>Caroline</c2><c3>Pinto</c3><c5>9, avenue Loiseau</c5><c7>Besson-sur-Lefort</c7><c8>64619</c8><c31>20201012</c31><c48>TN0000034</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
35,"<row id=""35"" xml:space=""preserve""><c1>C100035</c1><c2>Nath</c2><c3>Olivier</c3><c5>5, rue de Bourgeois</c5><c7>MassonBourg</c7><c8>33304</c8><c31>20060922</c31><c48>TN0000035</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
36,"<row id=""36"" xml:space=""preserve""><c1>C100036</c1><c2>Susan</c2><c3>Picard</c3><c5>643, avenue Margot Martel</c5><c7>Bourdonnec</c7><c8>39585</c8><c31>20230801</c31><c48>TN0000036</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
37,"<row id=""37"" xml:space=""preserve""><c1>C100037</c1><c2>Richard</c2><c3>Roussel</c3><c5>1, rue Claire Jacques</c5><c7>Brunel</c7><c8>05266</c8><c31>20230930</c31><c48>TN0000037</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
38,"<row id=""38"" xml:space=""preserve""><c1>C100038</c1><c2>Isabelle</c2><c3>Henry</c3><c5>avenue Duhamel</c5><c7>Bernier</c7><c8>09681</c8><c31>20220811</c31><c48>TN0000038</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
39,"<row id=""39"" xml:space=""preserve""><c1>C100039</c1><c2>Capucine</c2><c3>Pottier</c3><c5>9, chemin Prévost</c5><c7>Voisindan</c7><c8>85758</c8><c31>20201002</c31><c48>TN0000039</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
40,"<row id=""40"" xml:space=""preserve""><c1>C100040</c1><c2>Matthieu</c2><c3>De Sousa</c3><c5>89, rue Raynaud</c5><c7>Robert</c7><c8>33665</c8><c31>20250110</c31><c48>TN0000040</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
41,"<row id=""41"" xml:space=""preserve""><c1>C100041</c1><c2>Margot</c2><c3>Blondel</c3><c5>3, avenue Lucy Hoarau</c5><c7>ImbertVille</c7><c8>97455</c8><c31>20250909</c31><c48>TN0000041</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
42,"<row id=""42"" xml:space=""preserve""><c1>C100042</c1><c2>Susan</c2><c3>Albert</c3><c5>66, rue Élodie Charles</c5><c7>Verdier</c7><c8>24493</c8><c31>20150327</c31><c48>TN0000042</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
43,"<row id=""43"" xml:space=""preserve""><c1>C100043</c1><c2>Julie</c2><c3>Richard</c3><c5>chemin Guilbert</c5><c7>Weber</c7><c8>24866</c8><c31>20200707</c31><c48>TN0000043</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
44,"<row id=""44"" xml:space=""preserve""><c1>C100044</c1><c2>Clémence</c2><c3>Jean</c3><c5>36, boulevard Besnard</c5><c7>Saint Olivier</c7><c8>39717</c8><c31>20100504</c31><c48>TN0000044</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
45,"<row id=""45"" xml:space=""preserve""><c1>C100045</c1><c2>Georges</c2><c3>Charrier</c3><c5>boulevard Bègue</c5><c7>Pineau-les-Bains</c7><c8>01710</c8><c31>20260226</c31><c48>TN0000045</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
46,"<row id=""46"" xml:space=""preserve""><c1>C100046</c1><c2>Roland</c2><c3>Samson</c3><c5>858, chemin Margaud Ribeiro</c5><c7>DelormeBourg</c7><c8>17706</c8><c31>20240101</c31><c48>TN0000046</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
47,"<row id=""47"" xml:space=""preserve""><c1>C100047</c1><c2>Patrick</c2><c3>Bonneau</c3><c5>17, boulevard Patricia Meyer</c5><c7>GuillotVille</c7><c8>84479</c8><c31>20070805</c31><c48>TN0000047</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
48,"<row id=""48"" xml:space=""preserve""><c1>C100048</c1><c2>Marcel</c2><c3>Gauthier</c3><c5>52, chemin Xavier Foucher</c5><c7>Leducdan</c7><c8>54292</c8><c31>20080329</c31><c48>TN0000048</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
49,"<row id=""49"" xml:space=""preserve""><c1>C100049</c1><c2>Pauline</c2><c3>Baron</c3><c5>26, rue Olivier Pascal</c5><c7>Gilbert</c7><c8>57234</c8><c31>20240502</c31><c48>TN0000049</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
50,"<row id=""50"" xml:space=""preserve""><c1>C100050</c1><c2>Théophile</c2><c3>Lebon</c3><c5>18, boulevard Potier</c5><c7>Brunel</c7><c8>87882</c8><c31>20130118</c31><c48>TN0000050</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
51,"<row id=""51"" xml:space=""preserve""><c1>C100051</c1><c2>Aimé</c2><c3>Ruiz</c3><c5>35, boulevard Garnier</c5><c7>Bouchet</c7><c8>76455</c8><c31>20120629</c31><c48>TN0000051</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
52,"<row id=""52"" xml:space=""preserve""><c1>C100052</c1><c2>Paul</c2><c3>Pires</c3><c5>96, rue Payet</c5><c7>RouxVille</c7><c8>46472</c8><c31>20190826</c31><c48>TN0000052</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
53,"<row id=""53"" xml:space=""preserve""><c1>C100053</c1><c2>Audrey</c2><c3>Blanchet</c3><c5>84, rue Matthieu Peron</c5><c7>Marty-la-Forêt</c7><c8>13438</c8><c31>20190522</c31><c48>TN0000053</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
54,"<row id=""54"" xml:space=""preserve""><c1>C100054</c1><c2>David</c2><c3>Faivre</c3><c5>70, chemin Mahe</c5><c7>Diallo-sur-Germain</c7><c8>18710</c8><c31>20100828</c31><c48>TN0000054</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
55,"<row id=""55"" xml:space=""preserve""><c1>C100055</c1><c2>Océane</c2><c3>Berger</c3><c5>avenue de Gros</c5><c7>Perrier</c7><c8>34739</c8><c31>20230913</c31><c48>TN0000055</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
56,"<row id=""56"" xml:space=""preserve""><c1>C100056</c1><c2>Patrick</c2><c3>Pineau</c3><c5>79, boulevard Pauline Fournier</c5><c7>Barondan</c7><c8>97221</c8><c31>20161119</c31><c48>TN0000056</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
57,"<row id=""57"" xml:space=""preserve""><c1>C100057</c1><c2>Luce</c2><c3>Berger</c3><c5>44, rue de Bourdon</c5><c7>Collin</c7><c8>22604</c8><c31>20191208</c31><c48>TN0000057</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
58,"<row id=""58"" xml:space=""preserve""><c1>C100058</c1><c2>Henri</c2><c3>Rossi</c3><c5>15, boulevard de Laurent</c5><c7>Chrétienboeuf</c7><c8>14927</c8><c31>20160127</c31><c48>TN0000058</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
59,"<row id=""59"" xml:space=""preserve""><c1>C100059</c1><c2>Maggie</c2><c3>Lambert</c3><c5>32, chemin Renée Texier</c5><c7>Raymond</c7><c8>97234</c8><c31>20070430</c31><c48>TN0000059</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
60,"<row id=""60"" xml:space=""preserve""><c1>C100060</c1><c2>Roland</c2><c3>Roche</c3><c5>58, boulevard Alice Lefort</c5><c7>BourgeoisBourg</c7><c8>33273</c8><c31>20160615</c31><c48>TN0000060</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
61,"<row id=""61"" xml:space=""preserve""><c1>C100061</c1><c2>Claudine</c2><c3>Perrot</c3><c5>77, boulevard de Couturier</c5><c7>TexierBourg</c7><c8>37162</c8><c31>20110310</c31><c48>TN0000061</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
62,"<row id=""62"" xml:space=""preserve""><c1>C100062</c1><c2>Céline</c2><c3>Laroche</c3><c5>4, boulevard Renaud</c5><c7>Chevalier-la-Forêt</c7><c8>53566</c8><c31>20251130</c31><c48>TN0000062</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
63,"<row id=""63"" xml:space=""preserve""><c1>C100063</c1><c2>David</c2><c3>Garnier</c3><c5>56, rue de Evrard</c5><c7>DelmasVille</c7><c8>97258</c8><c31>20210421</c31><c48>TN0000063</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
64,"<row id=""64"" xml:space=""preserve""><c1>C100064</c1><c2>Astrid</c2><c3>Guichard</c3><c5>7, rue Éléonore Hoarau</c5><c7>Bertin</c7><c8>77627</c8><c31>20210104</c31><c48>TN0000064</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
65,"<row id=""65"" xml:space=""preserve""><c1>C100065</c1><c2>Claire</c2><c3>Pineau</c3><c5>3, avenue Alexandre Meyer</c5><c7>Girard</c7><c8>52468</c8><c31>20070224</c31><c48>TN0000065</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
66,"<row id=""66"" xml:space=""preserve""><c1>C100066</c1><c2>Marguerite</c2><c3>Blanchard</c3><c5>3, avenue Nicole Chartier</c5><c7>Bonneau-sur-Vasseur</c7><c8>11547</c8><c31>20211010</c31><c48>TN0000066</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
67,"<row id=""67"" xml:space=""preserve""><c1>C100067</c1><c2>Marie</c2><c3>Grenier</c3><c5>971, rue Dupuis</c5><c7>Sainte Alexandre</c7><c8>97140</c8><c31>20180201</c31><c48>TN0000067</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
68,"<row id=""68"" xml:space=""preserve""><c1>C100068</c1><c2>Jacqueline</c2><c3>Ferreira</c3><c5>803, chemin Duhamel</c5><c7>Foucher-sur-Hebert</c7><c8>68656</c8><c31>20091211</c31><c48>TN0000068</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
69,"<row id=""69"" xml:space=""preserve""><c1>C100069</c1><c2>Éric</c2><c3>Guillet</c3><c5>114, rue Sabine Mace</c5><c7>Vallet</c7><c8>29511</c8><c31>20070327</c31><c48>TN0000069</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
70,"<row id=""70"" xml:space=""preserve""><c1>C100070</c1><c2>Nicole</c2><c3>Seguin</c3><c5>660, avenue de Chartier</c5><c7>Bernard</c7><c8>02692</c8><c31>20140729</c31><c48>TN0000070</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
71,"<row id=""71"" xml:space=""preserve""><c1>C100071</c1><c2>Éric</c2><c3>Gallet</c3><c5>52, boulevard Laine</c5><c7>BlancBourg</c7><c8>47940</c8><c31>20220527</c31><c48>TN0000071</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
72,"<row id=""72"" xml:space=""preserve""><c1>C100072</c1><c2>Pauline</c2><c3>Joubert</c3><c5>4, rue de Berthelot</c5><c7>Bouvet</c7><c8>65356</c8><c31>20140930</c31><c48>TN0000072</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
73,"<row id=""73"" xml:space=""preserve""><c1>C100073</c1><c2>Adèle</c2><c3>Bègue</c3><c5>22, rue Vaillant</c5><c7>Grenier</c7><c8>50597</c8><c31>20240524</c31><c48>TN0000073</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
74,"<row id=""74"" xml:space=""preserve""><c1>C100074</c1><c2>Robert</c2><c3>Leroux</c3><c5>68, avenue Hubert</c5><c7>LeclercqVille</c7><c8>58237</c8><c31>20120209</c31><c48>TN0000074</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
75,"<row id=""75"" xml:space=""preserve""><c1>C100075</c1><c2>Anouk</c2><c3>Pages</c3><c5>93, boulevard de Robert</c5><c7>Chartier</c7><c8>83479</c8><c31>20130509</c31><c48>TN0000075</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
76,"<row id=""76"" xml:space=""preserve""><c1>C100076</c1><c2>André</c2><c3>Delattre</c3><c5>5, boulevard Dupont</c5><c7>Fernandes-sur-Giraud</c7><c8>11766</c8><c31>20130106</c31><c48>TN0000076</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
77,"<row id=""77"" xml:space=""preserve""><c1>C100077</c1><c2>Corinne</c2><c3>Chrétien</c3><c5>43, avenue de Arnaud</c5><c7>Saint Audrey-la-Forêt</c7><c8>97167</c8><c31>20211230</c31><c48>TN0000077</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
78,"<row id=""78"" xml:space=""preserve""><c1>C100078</c1><c2>Brigitte</c2><c3>Duval</c3><c5>rue Franck Fournier</c5><c7>Vasseurboeuf</c7><c8>60996</c8><c31>20150521</c31><c48>TN0000078</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
79,"<row id=""79"" xml:space=""preserve""><c1>C100079</c1><c2>Alexandria</c2><c3>Lopes</c3><c5>31, rue Boutin</c5><c7>Blondelboeuf</c7><c8>71881</c8><c31>20210807</c31><c48>TN0000079</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
80,"<row id=""80"" xml:space=""preserve""><c1>C100080</c1><c2>Claudine</c2><c3>Blin</c3><c5>66, chemin Suzanne Gillet</c5><c7>Guichard</c7><c8>26978</c8><c31>20120925</c31><c48>TN0000080</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
81,"<row id=""81"" xml:space=""preserve""><c1>C100081</c1><c2>Louise</c2><c3>Pires</c3><c5>90, chemin de Roger</c5><c7>Saint Corinne</c7><c8>66101</c8><c31>20061012</c31><c48>TN0000081</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
82,"<row id=""82"" xml:space=""preserve""><c1>C100082</c1><c2>Arthur</c2><c3>Delahaye</c3><c5>avenue de Lebrun</c5><c7>Saint Lucas-sur-Mer</c7><c8>77349</c8><c31>20110412</c31><c48>TN0000082</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
83,"<row id=""83"" xml:space=""preserve""><c1>C100083</c1><c2>Michel</c2><c3>Mary</c3><c5>79, boulevard Delaunay</c5><c7>Leducnec</c7><c8>48424</c8><c31>20160128</c31><c48>TN0000083</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
84,"<row id=""84"" xml:space=""preserve""><c1>C100084</c1><c2>Olivie</c2><c3>Diaz</c3><c5>44, chemin Vidal</c5><c7>Sainte Charlottedan</c7><c8>37599</c8><c31>20230412</c31><c48>TN0000084</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
85,"<row id=""85"" xml:space=""preserve""><c1>C100085</c1><c2>Véronique</c2><c3>Besson</c3><c5>45, chemin Legendre</c5><c7>Bouchet</c7><c8>13957</c8><c31>20091121</c31><c48>TN0000085</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
86,"<row id=""86"" xml:space=""preserve""><c1>C100086</c1><c2>Brigitte</c2><c3>Boulanger</c3><c5>15, boulevard Lopes</c5><c7>Paul</c7><c8>07973</c8><c31>20170815</c31><c48>TN0000086</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
87,"<row id=""87"" xml:space=""preserve""><c1>C100087</c1><c2>William</c2><c3>Imbert</c3><c5>53, chemin Antoinette Boyer</c5><c7>Duval-les-Bains</c7><c8>05356</c8><c31>20251010</c31><c48>TN0000087</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
88,"<row id=""88"" xml:space=""preserve""><c1>C100088</c1><c2>Adélaïde</c2><c3>Robert</c3><c5>36, avenue Georges De Oliveira</c5><c7>Bruneau-sur-Lacroix</c7><c8>01733</c8><c31>20210831</c31><c48>TN0000088</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
89,"<row id=""89"" xml:space=""preserve""><c1>C100089</c1><c2>Monique</c2><c3>Bazin</c3><c5>877, chemin Roger</c5><c7>LopezBourg</c7><c8>59629</c8><c31>20170825</c31><c48>TN0000089</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
90,"<row id=""90"" xml:space=""preserve""><c1>C100090</c1><c2>Françoise</c2><c3>Olivier</c3><c5>9, chemin Nathalie Toussaint</c5><c7>Parent</c7><c8>61766</c8><c31>20130112</c31><c48>TN0000090</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
91,"<row id=""91"" xml:space=""preserve""><c1>C100091</c1><c2>Alice</c2><c3>Roy</c3><c5>93, rue Alexandre</c5><c7>Ollivier</c7><c8>04955</c8><c31>20201022</c31><c48>TN0000091</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
92,"<row id=""92"" xml:space=""preserve""><c1>C100092</c1><c2>Stéphane</c2><c3>Marchand</c3><c5>avenue de Jacquot</c5><c7>Georges</c7><c8>97489</c8><c31>20170520</c31><c48>TN0000092</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
93,"<row id=""93"" xml:space=""preserve""><c1>C100093</c1><c2>Frédéric</c2><c3>Vidal</c3><c5>rue de Denis</c5><c7>Delattre</c7><c8>97132</c8><c31>20240229</c31><c48>TN0000093</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
94,"<row id=""94"" xml:space=""preserve""><c1>C100094</c1><c2>Marthe</c2><c3>Rossi</c3><c5>89, chemin Girard</c5><c7>Saint Thibault-la-Forêt</c7><c8>36161</c8><c31>20061014</c31><c48>TN0000094</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
95,"<row id=""95"" xml:space=""preserve""><c1>C100095</c1><c2>Julien</c2><c3>Lemoine</c3><c5>57, boulevard Raymond Berthelot</c5><c7>Merleboeuf</c7><c8>32869</c8><c31>20211105</c31><c48>TN0000095</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
96,"<row id=""96"" xml:space=""preserve""><c1>C100096</c1><c2>Xavier</c2><c3>Jacquet</c3><c5>29, chemin Chantal Lambert</c5><c7>Bailly</c7><c8>10407</c8><c31>20220515</c31><c48>TN0000096</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
97,"<row id=""97"" xml:space=""preserve""><c1>C100097</c1><c2>Jeannine</c2><c3>Rémy</c3><c5>13, rue Joseph Wagner</c5><c7>Jacobnec</c7><c8>87764</c8><c31>20230724</c31><c48>TN0000097</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
98,"<row id=""98"" xml:space=""preserve""><c1>C100098</c1><c2>Emmanuel</c2><c3>Rivière</c3><c5>626, chemin Luce Leconte</c5><c7>Clément</c7><c8>97373</c8><c31>20220125</c31><c48>TN0000098</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
